"","DATAFLOW","LAST.UPDATE","freq","frequenc","deg_urb","sex","age","unit","geo","TIME_PERIOD","OBS_VALUE","OBS_FLAG","CONF_STATUS"
"2462","ESTAT:HLTH_EHIS_AL1U(1.0)","27/10/22 23:00:00","A","DAY","DEG1","T","Y15-19","PC","RO",2014,0,"",NA
"2463","ESTAT:HLTH_EHIS_AL1U(1.0)","27/10/22 23:00:00","A","DAY","DEG1","T","Y15-19","PC","RO",2019,0,"",NA
"2464","ESTAT:HLTH_EHIS_AL1U(1.0)","27/10/22 23:00:00","A","DAY","DEG1","T","Y15-19","PC","RS",2019,0,"",NA
"2465","ESTAT:HLTH_EHIS_AL1U(1.0)","27/10/22 23:00:00","A","DAY","DEG1","T","Y15-19","PC","SE",2014,0,"",NA
"2466","ESTAT:HLTH_EHIS_AL1U(1.0)","27/10/22 23:00:00","A","DAY","DEG1","T","Y15-19","PC","SE",2019,0,"",NA
"2467","ESTAT:HLTH_EHIS_AL1U(1.0)","27/10/22 23:00:00","A","DAY","DEG1","T","Y15-19","PC","SI",2014,0,"",NA
"2468","ESTAT:HLTH_EHIS_AL1U(1.0)","27/10/22 23:00:00","A","DAY","DEG1","T","Y15-19","PC","SI",2019,2.2,"u",NA
"2469","ESTAT:HLTH_EHIS_AL1U(1.0)","27/10/22 23:00:00","A","DAY","DEG1","T","Y15-19","PC","SK",2014,0,"",NA
"2470","ESTAT:HLTH_EHIS_AL1U(1.0)","27/10/22 23:00:00","A","DAY","DEG1","T","Y15-19","PC","SK",2019,0,"u",NA
"2471","ESTAT:HLTH_EHIS_AL1U(1.0)","27/10/22 23:00:00","A","DAY","DEG1","T","Y15-19","PC","TR",2014,0,"",NA
"2472","ESTAT:HLTH_EHIS_AL1U(1.0)","27/10/22 23:00:00","A","DAY","DEG1","T","Y15-19","PC","TR",2019,0,"",NA
"2473","ESTAT:HLTH_EHIS_AL1U(1.0)","27/10/22 23:00:00","A","DAY","DEG1","T","Y15-19","PC","UK",2014,0.2,"",NA
"2474","ESTAT:HLTH_EHIS_AL1U(1.0)","27/10/22 23:00:00","A","DAY","DEG1","T","Y15-24","PC","AT",2014,0.2,"",NA
"2475","ESTAT:HLTH_EHIS_AL1U(1.0)","27/10/22 23:00:00","A","DAY","DEG1","T","Y15-24","PC","AT",2019,0.1,"",NA
"2476","ESTAT:HLTH_EHIS_AL1U(1.0)","27/10/22 23:00:00","A","DAY","DEG1","T","Y15-24","PC","BE",2014,0.7,"u",NA
"2477","ESTAT:HLTH_EHIS_AL1U(1.0)","27/10/22 23:00:00","A","DAY","DEG1","T","Y15-24","PC","BE",2019,0.5,"",NA
"2478","ESTAT:HLTH_EHIS_AL1U(1.0)","27/10/22 23:00:00","A","DAY","DEG1","T","Y15-24","PC","BG",2014,3.4,"",NA
"2479","ESTAT:HLTH_EHIS_AL1U(1.0)","27/10/22 23:00:00","A","DAY","DEG1","T","Y15-24","PC","BG",2019,2.1,"",NA
"2480","ESTAT:HLTH_EHIS_AL1U(1.0)","27/10/22 23:00:00","A","DAY","DEG1","T","Y15-24","PC","CY",2014,0,"",NA
"2481","ESTAT:HLTH_EHIS_AL1U(1.0)","27/10/22 23:00:00","A","DAY","DEG1","T","Y15-24","PC","CY",2019,0.2,"",NA
"2482","ESTAT:HLTH_EHIS_AL1U(1.0)","27/10/22 23:00:00","A","DAY","DEG1","T","Y15-24","PC","CZ",2014,2,"",NA
"2483","ESTAT:HLTH_EHIS_AL1U(1.0)","27/10/22 23:00:00","A","DAY","DEG1","T","Y15-24","PC","CZ",2019,1.2,"",NA
"2484","ESTAT:HLTH_EHIS_AL1U(1.0)","27/10/22 23:00:00","A","DAY","DEG1","T","Y15-24","PC","DE",2014,1,"",NA
